formula,spacegroup
Dy2Pt,61
LuAlCu,73
Ba3(ClO)2,13
YbPrZn2,219
BiI,11
Ag5Sb23(PbS4)12,0
Li3Mn(Si2O5)3,63
YZnAsO,127
Ac2MgTl,219
Li6MnV3(PO4)6,0
LiMnPO4,0
MgCrP2O7,4
Na3ScSiGe(PO6)2,8
Sm10S19,85
Na3MnAsCO7,10
Ba2HfUO6,219
Te2Mo3WS6,154
Ba2CePtO6,219
BaLa(FeO3)2,117
Sr3TiRuO7,105
Co6OF11,4
LiCuF4,1
NdIn3,215
LiCr3O8,61
NaBS2,165
Hf2SbP,191
RbUC3O8,13
Li17Cr2O12,0
Ge(PbS2)2,13
Sr2GdCr(CuO4)2,37
Er2FeSi2,11
PbI2,154
Ti5Al2C3,164
Cu,219
Li2TiCr(PO4)3,13
LaNi5,188
PmY3,137
Fe2Mo4C,221
LiV3F10,6
Gd2PdRu,219
SbOF,61
Li2TiV3O8,1
KN3,138
Tm2CuRh,219
NaFe(WO4)2,12
Ti3NbO8,1
CsAlTe3,13
NaFe9H18(S3O22)2,11
La4GaSi3,24
ErMn2O5,54
Bi4Ir,164
LiGaCl3,61
Tm3(FeGe)4,70
UFeC2,127
PtS2,162
MgCuO2,139
VCoSb,210
SmAlCu4,184
NaFeAsO4F,14
Na(CoO2)3,4
MgV2Pb(OF4)2,0
Rb2TiCr2(MoO4)6,1
Ce2Dy2O7,50
LiFe(PO3)4,3
Na6ZrZn7(SO4)12,0
V4OF11,0
Hf3(MnGa3)2,58
UBi4(AsO8)2,1
Ca(TiS2)4,11
Mg4CuO5,70
Na4Ga3Si3B(HO3)4,212
Sm12Co6Pb,201
LiPd2Pb,219
NaBi5O8,1
Li17Nb20O60,0
Ba5Ga6,5
SmMoClO4,11
Mo2RuSe4,1
NbPO5,61
LaVS3,61
V3O5F,64
Gd2TlHg,219
BaVOF4,42
LiSiBiO4,32
Na2Mg2(SO4)3,14
MgMn3CuO8,164
Sm2Co3Ge5,14
FeOF,91
Ga6CuSb7(TeCl3)8,1
V2Pb2O7,13
Nd12InNi6,201
Fe31Si5O48,0
V3Fe,217
Sr2TiRuO6,121
MnF3,148
Ba3B6H2O13,6
LiV(PO3)4,11
GdVB4,54
PrHfO4,195
Li7Mn8(BO3)8,0
Sm2Al4Fe13,158
Fe2Cu6SnS8,113
LiV2P4(HO8)2,3
Pr2Fe12P7,171
Mn2O3F,37
Na7Li3V10O30,0
NaEuTl2,219
KMnO2,61
Mg(FeO2)2,154
Rb2Bi4Se7,10
KSrLaWO6,47
LuCo3B2,188
MgMnV4O12,0
YLuCd2,219
Ba9Nb10O30,1
LiMnF3,35
YGe3,62
MnCoB2,25
Li3BrO,215
MgGa2,11
SrFeF5,13
Mg17(As3O16)2,13
BaCaDySbO6,210
EuNbO3,73
Sm9Ga4,86
LaAgAu2,219
CeMg,162
Li2CrFe(PO4)2,1
CaMnN2,60
K3BAs2,14
Ho2Bi2O7,221
CuH4(ClO)2,52
Na2La3Ta5(PO4)12,0
Ba2Li(BO2)5,10
Li4La3Nb12O36,11
NaZn(BH4)3,13
Li5MnP3O11,1
Co2CuGe2,50
Li2Mn3F8,206
Li7Mn3(SiO6)2,11
CeY4Zn5,121
SrTl2O4,61
CaC2,62
LiSn2P4H3O16,0
NaYTi2(SiO5)2,4
K3UO2F5,87
Nb2Tl3CuSe12,13
Ce2H8S3O16,13
DyCdIn,162
MgAgAu2,219
Na2Be2O3,13
Na2Cu4H5(SO5)4,9
Te3Au,121
Nb4Ga5,134
Er2PbS4,61
LiFeSiO4,32
Li7Mn4CoO12,7
BaWN3,11
Tm5(In2Ni)2,54
Li3VPCO7,0
InPd3,121
Sr2In4Pt3,186
Na2Y2B2TeO10,13
Cs2Sn3(SbS5)2,13
TbMg,215
Mn6P4H2O17,8
NaCa9TaTi9(SiO5)10,0
LiSn(PO3)4,3
KLiMg30O31,24
MgV4Cu3O14,0
Zn5Se4S,158
Ir(SeBr3)3,13
Ce(In2Au)2,61
SmTiCo11,43
Na2ZnSn3P4(SO12)2,0
Y4Ga16Co3,121
MgBi2,62
Ta4WC5,164
CoCu3HgSe4,209
SiF4,211
Tb4Te3N2,51
LiPb,215
LaAlO3,1
KAuBr3,215
K2GaP2H3(O4F)2,3
Ba2NdPaO6,219
Tb5(In2Ni)2,54
Sr(YS2)2,61
Li2VCrO4,1
MnCoSb,210
Li5Mn2CoO8,9
BaPr(CoO3)2,121
LiH6ClO7,183
HfCrCuS4,9
Nd2FeSb4,113
Lu(Al2Fe)4,137
Li3MnNi3O8,164
Li4V3O8,10
CaNb4O8,7
GeTe5Pb4,164
RbV5Se8,0
Li2CrFeO4,1
Sm3Al,215
LuMgAg2,219
Fe3Sb,191
Li4VCr3O8,9
Cs6K3AlSb4,191
Li5V6O5F19,0
Ba3LaCl9,61
U2Tl2Mo3O16,32
Na6Zr3ZnSi4(SO12)2,0
Ho2Fe14C,134
Li4Co(BO3)2,57
Bi2MoO6,60
Cu(SbO2)2,133
K2MnSe2,71
Fe(BMo)2,125
Ca3La3(BO3)5,183
Li4Ti3Mn3Nb2O16,7
BaCO3,61
Cr4Si2Cl2O7,6
KTiPSe5,11
Sr8Fe2Ru2O13,11
V4(OF3)3,0
Eu3Ni7B2,184
HfTc,215
SiO2,63
Ho2Al,61
Pr10Se14O,140
Ba2ScCl7,13
Dy2CuPt,219
Ni4P16W,14
KLi3TiO4,1
Sr(AsPt)2,13
La2CO5,39
Li7Co5O12,9
MnV4CoO12,4
Cs2LaCl5,61
Ag2BiSbSe4,117
MgMnCo5O12,0
SmYFe6,158
TiMnZn(PO4)3,159
Cs2AlAgBr6,219
BaNaPrBiO6,47
MgAg2,70
MnSO5,14
NbCoAs,61
Ba2NdCu2HgO7,121
Ca2P7Ir12,145
NaHSeO4,13
SbOF3,1
La4BrCl3O4,97
BaB4O7,13
Na4Mg3TiSiS5O24,0
FeSiO3,13
CsK2CoO2,137
Ca2Si,61
LiVTeO5,61
CaBiF5,14
ThGe2,64
Eu2ZnHg,219
Y2MgGa2,125
ZrGe2,62
Sb2S3,61
LiCu(PO3)4,8
Ru2S4Cl13,13
Sr3LiIrO6,165
Li4Ti3Mn2Cu3O16,7
KYMg30O32,121
K(V3S4)2,145
KBi2,221
Cs2Pt,191
Eu(AsPd)2,137
LaTcN3,9
Mo3P5Pb3O23,61
FeCl3,146
Mg2CdH24(BrO2)6,146
Na2Y3Ta5Si6(SO8)6,0
Na8Zr3Si16Sn(H4O13)4,1
Li4Co3Sn5O16,0
CrPb2F7,13
AsI5F6,14
NaZnP,127
Na6Sc4Al4Si3(S3O16)3,0
TaHO3,139
LiZnP2HO7,28
Cs2PdSe8,140
Sr2CoGe2O7,111
Na4CaSiSn(PO6)2,8
AgBO2,59
KTbH2C2SO9,13
Ce4ThO9,81
Tl2Mo2P2O11,3
BaSrZrNbO6,210
TiV15O24,0
Na3Pt,137
Ca5Cu2(IrO6)2,0
LiMnF3,8
Ba2H20Ru2Cl10O11,14
Li3V3P8O29,0
LiFeF4,11
GaCo2Ni,137
Sm3Si2BO10,60
ZnFeP2O7,1
Rb2LiDyBr6,219
Tl3PSe4,61
La3Si2Rh3,61
SrH18Cl2O17,62
GdAsO4,123
LiFeWClO4,10
SrCaVWO6,210
Na2Mo(H2O3)4,13
Te2Au,12
Li4Mn3V3(TeO8)2,0
Na(GeP)3,25
Mn3CrO8,164
NaCa9Ti9Nb(SiO5)10,0
CdPb2(ClO)2,11
PuB2Rh3,188
CaBi2O5,13
LiV4O5F7,0
Li3Zn2Fe19O32,0
BaCu2Si2O7,61
Zn(InTe2)2,81
Mn2FeSbO6,13
BiPbClO2,62
Ba2CaMoO6,219
ErPaOs2,219
SmNiC2,37
Eu(HoSe2)2,61
CeZn3Cu2,188
Tb(FeP3)4,201
Nd2Co23B3,214
Ga3Ni5Ge2,62
Tm2CuOs,219
Cs(FeP)2,137
Rb2AgPS4,1
Li4V3P8O29,0
MgZrIr2,219
LiTi3O4,64
LiCu(PO3)4,0
K2RbPrV2O8,162
LaMnN3,62
BeSiNi2,121
Fe2Ni,162
Na4Zr(MoO4)4,87
Nb2RuW,219
Fe14O15,86
Rb2NbF6,162
BiOF,3
Na9Nb4Zn2Si6(PO12)3,0
MnCu2Sn3S8,164
Pr3Co4Sn13,217
Nb2Se9,1
Hf2N2O,0
Na10Hf6Zn2Si7S5O48,0
Tb2Ti3Si4,91
BaCaGdBiO6,15
Zn3P2H7O12,18
BaLi(B3O5)3,159
Nb5Ga3,190
RbY(SeO3)2,61
HoSF,127
Nd3Sn13Ir4,217
Li3Fe4(OF3)3,0
Ba10Nb3Bi7O30,1
CsGdSiS4,18
